id_transacao,descricao_produtos
45,BERMUDA MOLETOM PUPPYDIFERENTE KIDS;CALÇA JEANS HELO JEANS;REGATA MACHAO SERGIO MODAS
46,MEIA FESTA FASHION - FEM PIMPOLHO ROSA
47,CALCINHA MIMOS JUNINHO BABY;CAMISETA BORDADA ALGODÃO MIC;FAIXA UND;MEIA LISA UNISSEX PIMPOLHO AZUL;MEIA POLIAMIDA SORTIDA PIMPOLHO VERMELHOFLORES;MIJÃO ABERTO LISO MIC;MIJÃO BORDADO BILU BILU
48,BERMUDA DE MOLETOM Á SELFIE;CAMISA PROTEÇÃO UV + TURMA DO MAR;CAMISA REGATA ITALICO;CUECA BOXER INF MICROFIBRA ESTAMPADA MALLBECK B-
49,JAQUETA JEANS DIVERSAS FRAN FRAN KIDS
50,CALÇA JEANS PANTALONA HELÔ JEANS
51,BRANDILI KYLY KAMYLUS ELIAN NANAI
52,TOALHAS DE DESENHO
53,CALCINHA TANGA FOFINHA SG KIDS;KIT MEIA LISA C PARES NO TAG PIMPOLHO FEMININO A
54,SHORT JUVENIL NACLEFS MODA FASHION
55,TOALHA LISA DE ROSTO
56,CALCINHA ALGODÃO LISA LUZIANE;CALCINHA ESTAMPADA MALHA FRIA LUZIANE;REGATA MALHA FRIA L&D;SHORT JUVENIL NACLEFS MODA FASHION;SHORT ZAFIRINHA KIDS
57,CUECA DOM MATHEUS COM CÓS;CUECA DOM MATHEUS DE CÓS ADULTO
58,CAMISETA BICHINHOS MIC MODA;CAMISETA LISA ALGODÃO MIC;CUECA LISA HAOS CONFECÇÕES;SHORT ALGODÃO ELASTICO LISO MIC
59,TOALHA LISA DE ACADEMIA
60,BABY DOLL DURMA COM STYLO;CALCINHA ALGODÃO LISA LUZIANE;CAMISETA LISA ALGODÃO MIC;SHORTS VARIADOS DINDA
61,CALCINHA GUIPIR LA MAYARA;CALCINHA WA BABY LAÇOS;CAMISETA BORDADA ALGODÃO MIC;SHORT ALGODÃO ELASTICO LISO MIC
62,BABY DOLL DURMA COM STYLO;Produto sem referencia no Estoque
63,BERMUDA MOLETOM PUPPYDIFERENTE KIDS
64,Produto sem referencia no Estoque
65,CUECA ESTAMPADA HAOS
66,CAMISETA ALG. EST. MICOL BABY KIDS
67,SUTIÃ SPORT COKIT
68,SUTIÃ JADE INTIMATE KANGYADIEZI
69,CAMISA GOLA CARECA INDRI KIDS
70,CALCINHA BOX
71,CAMISA GOLA CARECA INDRI KIDS;SUTIÃ SPORT COKIT
72,TOALHAS DE DESENHO
73,TOALHA LISA DE ROSTO
74,CUECAS BOX;SUTIA SEM BOJO DA LILI LANGERIE
75,CALCINHA BOX AMO TI AMO AMORARMA;CALCINHA LISA JUVENIL LUZIANE
76,SUTIÃ SPORT COKIT
77,CALÇA JEANS PANTALONA HELÔ JEANS
78,CALCINHA ALGODÃO LISA LUZIANE;REGATA CANELADA MANIA VISUAL LD CL KIDS;SHORT JUVENIL NACLEFS MODA FASHION
79,CAMISETA BORDADA ALGODÃO MIC;CAMISETA BORDADA BILU BILU;TAPA FRALDA BORDADA BILU BILU
80,KIT MEIA LISA C PARES NO TAG PIMPOLHO UNISSEX A
81,BLUSA E REGATA CANELADA LISA D'VYSTEK;LEGUE CURTA LISA D'VYSTEK;SHORTS VARIADOS DINDA
82,FAIXA UND;MACACAO BERNARDO REF MRM BOYS;VESTIDO PAULINA COM CALCINHA
83,SUTIÃ JADE INTIMATE KANGYADIEZI
84,LUVA EM MEIA UND. YOU;MEIA CAÇULINHA -;MEIA POLIAMIDA SORTIDA PIMPOLHO BRANCALOSANGO;TOUCA MALHA ATOALADA FOFURINHA TOUCA
85,COLHER INFANTIL DE SILICONE UNISSEX PIMPOLHO ROSA
86,CALCINHA TANGA FOFINHA SG KIDS;CALCINHA LISA JUVENIL LUZIANE;SUTIÃ JADE INTIMATE KANGYADIEZI
87,CAMISETA BORDADA ALGODÃO MIC;SHORT ALGODÃO ELASTICO LISO MIC
88,CALCINHA SUPER LUXO LA MAYARA
89,SHORT JUVENIL NACLEFS MODA FASHION
90,REGATA CANELADA MANIA VISUAL LD CL KIDS;SHORT JUVENIL NACLEFS MODA FASHION
91,BONE OXFORD LAMAYARA;SANDALIA MENINA E MENINO FRAJOLINHA
92,CONJ BLUSA FOLIA ESTAMPADA;CONJ. BLUSA E SHORTS MALHA FEMININO BRANDILI;CONJUNTO LOVE HOPE FOLIA KIDS;CONJUNTO ..PENTEA.VIVIENNE GB BALOES ROSA;CONJUNTO MALHA TYLOR GB VERMELHO NATTY
93,LUVA UNID. LA MAYARA E MRM BOYS;MANTA TECIDO SIMPLES COM BONECA LAYNE BABY X;PANO DE BOCA X CM C UN NEU DENGO MINASREY;TRAVESSEIRO RETANGULAR RBB CIA EST.
94,CAMISETA BICHINHOS MIC MODA;CUECA LISA HAOS CONFECÇÕES;SHORT ALGODÃO ELASTICO LISO MIC
